country,countryname,oecdmember,edate,date,party,partyname,partyabbrev,parfam,candidatename,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103_1,per103_2,per104,per105,per106,per107,per108,per109,per110,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per203,per204,per301,per302,per303,per304,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416_1,per416_2,per501,per502,per503,per504,per505,per506,per507,per601_1,per601_2,per602_1,per602_2,per603,per604,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per701,per702,per703_1,per703_2,per704,per705,per706,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm
150,"Argentina",0,14/05/1989,198905,150029,"Justicialist Party of Popular Unity","FREJUPO",40,"Carlos S. Menem",314,5,2018,.6880000000000001,.614,44.684,0,47.49,126,254,1,930,"2022-1",1492,.134,0,0,0,8.109999999999999,.134,.067,0,2.614,0,0,0,.134,0,4.088,0,0,0,0,0,6.903,0,4.893,1.273,7.842000000000001,0,0,0,0,0,1.542,.9380000000000001,5.63,3.351,.737,1.676,0,1.609,4.021,4.424,.402,0,.737,1.877,0,0,.134,0,0,2.815,.268,0,.268,0,6.032,0,0,0,1.273,0,.9380000000000001,0,11.528,0,0,0,0,0,0,0,9.249000000000001,0,2.212,0,0,0,2.145,-3.82,8.981,3.418,3.083,.067,"2022a","RM63HS"
150,"Argentina",0,14/05/1989,198905,150040,"Center Alliance","",40,"Álvaro Alsogaray",314,5,2018,.6880000000000001,.614,9.595000000000001,0,6.87,14,254,1,930,"2022-1",143,0,0,0,0,0,.6990000000000001,3.497,.6990000000000001,2.797,0,0,0,1.399,.6990000000000001,4.196,0,.6990000000000001,0,3.497,0,6.993,0,2.797,0,5.594,0,0,0,0,0,11.888,0,.6990000000000001,0,0,0,0,0,0,.6990000000000001,1.399,0,0,7.692,0,0,1.399,2.098,0,0,7.692,7.692,12.587,1.399,3.497,0,0,0,.6990000000000001,0,1.399,0,3.497,0,0,0,0,0,0,0,2.098,0,0,0,0,0,0,13.287,.6990000000000001,19.58,7.692,4.196,"2022a","QT6YB6"
150,"Argentina",0,14/05/1989,198905,150301,"Civic Radical Union","UCR",30,"Eduardo Angeloz",314,5,2018,.6880000000000001,.614,28.749,0,37.09815,90,254,1,930,"2022-1",994,.202,0,0,.604,.402,.805,1.308,.704,3.421,0,0,0,0,.402,7.042,0,0,0,0,1.006,7.545,0,6.338,.101,1.811,0,0,0,0,0,2.716,2.314,4.024,.905,.503,.604,0,2.616,0,1.408,7.143,0,1.006,.302,0,0,2.716,3.018,3.32,4.125,6.841,.201,4.225,.101,1.911,0,0,0,.302,.201,2.113,.905,3.32,0,.805,0,0,0,0,0,4.527,0,3.32,0,0,.503,2.314,-19.416,4.93,3.018,10.966,2.012,"2022a","QCSEOS"
150,"Argentina",0,14/05/1995,199505,150201,"Justicialist Party","PJ",40,"Carlos S. Menem",314,5,2017,.717,.621,43.026,0,49.9028131945482,131,257,1,921,"2022-1",1252,1.757,.08,0,.08,.08,1.198,.16,1.438,3.035,2.716,0,0,.9580000000000001,0,3.834,0,0,0,.24,1.438,8.946,0,3.994,.399,5.351,1.038,0,0,0,0,5.192,1.278,1.597,2.236,.479,0,0,1.757,0,.9580000000000001,19.169,0,0,4.233,0,0,.719,1.518,3.355,1.118,4.313,0,3.914,0,2.236,0,0,0,.16,0,1.118,0,1.917,0,.08,0,.08,0,0,0,2.236,0,2.077,0,0,.399,1.118,1.997,3.834,9.425000000000001,5.431,1.597,"2022a","HGJWJD"
150,"Argentina",0,14/05/1995,199505,150202,"Front for a Country in Solidarity","FREPASO",20,"José O. Bordón",314,5,2017,.717,.621,20.689,0,29.2956174215002,26,257,1,921,"2022-1",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.522,0,0,0,2.174,0,8.696,0,0,6.522,0,0,0,0,0,0,0,6.522,8.696,0,0,2.174,0,0,0,4.348,6.522,0,0,6.522,0,0,0,0,2.174,13.043,8.696,0,6.522,0,4.348,0,0,0,0,0,0,0,2.174,0,0,0,0,0,0,0,4.348,0,0,0,0,0,0,-15.217,8.696,6.522,21.739,0,"2022a","CPBGUM"
150,"Argentina",0,14/05/1995,199505,150301,"Civic Radical Union","UCR",30,"Horacio Massacessi",314,5,2017,.717,.621,21.704,0,16.9935172195496,68,257,1,921,"2022-1",880,1.818,.114,.114,.341,0,1.477,0,2.045,2.386,1.477,0,0,.114,1.023,12.727,0,0,0,0,1.705,4.205,0,2.5,3.068,8.295,.341,0,0,0,.114,.909,2.841,7.159,.341,.341,.341,.455,1.364,0,1.364,3.977,0,0,1.477,0,0,1.705,1.364,3.977,4.432,2.727,0,4.318000000000001,0,3.75,0,0,.341,0,0,1.023,0,1.932,0,.455,0,.909,0,0,0,2.5,0,2.386,0,0,.227,3.523,-11.136,7.5,2.386,7.159,2.159,"2022a","NFCFC9"
150,"Argentina",0,24/10/1999,199910,150028,"Justicialist Coalition for Change","",40,"Eduardo Duhalde",314,5,2017,.717,.621,35.936,0,38.6865849521122,99,257,8,921,"2022-1",587,1.022,0,0,.341,.341,.17,0,.17,5.281,2.555,0,0,0,.681,4.94,0,0,.341,0,0,7.666,0,8.007,.341,.341,0,0,0,0,.17,.681,4.600000000000001,1.533,.341,.511,2.726,0,1.363,.17,.511,5.111,0,0,2.896,0,0,3.066,2.896,5.622,4.600000000000001,6.303,.852,5.792,0,2.044,0,0,.17,1.874,0,4.94,0,4.089,0,.511,0,.341,0,0,0,1.874,0,1.022,0,0,.681,.511,-6.644,1.874,3.578,10.903,.17,"2022a","2G89TV"
150,"Argentina",0,24/10/1999,199910,150032,"Aliance for Work, Justice, and Education","ALIANZA",30,"Fernando de la Rúa",314,5,2017,.717,.621,43.764,0,48.3652471608538,119,257,8,921,"2022-1",1273,4.635,.314,0,.393,.157,.628,0,1.021,1.964,1.807,0,0,.471,2.2,3.928,0,0,0,.079,.157,5.97,0,9.662000000000001,1.728,.786,0,0,0,0,.157,1.414,5.027,5.892,0,0,2.2,0,.628,0,1.414,8.247999999999999,0,0,1.885,0,0,1.493,.786,3.535,2.985,8.090999999999999,0,4.713,0,1.021,0,0,0,.236,0,3.299,.157,1.335,0,.236,0,.9430000000000001,0,0,0,3.221,0,1.335,0,.079,1.257,2.514,-13.04,5.892,3.299,11.076,1.021,"2022a","PQA7K3"
150,"Argentina",0,24/10/1999,199910,150601,"Action for the Republic","AR",60,"Domingo Cavallo",314,5,2017,.717,.621,8.114000000000001,0,9.81265432035244,11,257,1,921,"2022-1",567,2.998,.353,0,.353,0,1.411,.176,.353,3.88,3.351,0,0,.353,.176,6.173,0,.529,0,.353,0,3.527,0,10.229,4.938,.353,0,0,0,0,0,5.996,4.762,2.116,.705,0,.353,1.411,.353,0,.705,3.527,0,0,2.998,0,0,1.94,2.293,1.94,2.116,8.465999999999999,3.175,4.938,.705,0,0,0,.353,0,0,7.055,0,1.94,0,0,0,0,0,0,0,1.764,.882,0,0,0,0,0,.176,2.822,8.995000000000001,10.582,.529,"2022a","584ETE"
150,"Argentina",0,27/04/2003,200304,150022,"Front for Loyalty and Union of the Democratic Centre","FPL + UCeDé",20,"Carlos S. Menem",314,5,2016,.717,.621,,,24.25,,257,8,911,"2022-1",289,0,0,0,0,0,0,0,.346,3.806,1.038,0,0,0,0,4.498,0,0,0,0,.346,5.19,.6920000000000001,12.803,1.384,0,.346,0,0,0,0,2.076,3.46,2.422,.346,0,.346,.6920000000000001,.6920000000000001,.6920000000000001,1.038,5.19,0,0,3.114,0,0,1.73,1.73,8.651,3.46,7.266,0,7.612,0,.6920000000000001,.346,0,0,0,0,11.419,.346,.6920000000000001,0,0,0,0,0,0,0,4.152,0,1.038,0,0,0,.346,-7.958,2.768,5.19,10.727,.346,"2022a","2KEXTU"
150,"Argentina",0,27/04/2003,200304,150025,"Front for Victory","FpV",20,"Néstor C.  Kirchner",314,5,2016,.717,.621,,,22.24,,257,8,911,"2022-1",75,2.667,0,0,0,0,0,0,0,4,1.333,0,0,0,0,14.667,0,0,0,0,0,5.333,0,9.333,2.667,0,0,0,0,0,0,0,4,6.667,0,0,2.667,0,2.667,2.667,1.333,1.333,1.333,2.667,4,0,0,0,0,5.333,5.333,4,0,5.333,0,4,0,0,0,0,0,4,0,2.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.667,8,4,9.333,0,"2022a","YWW7TN"
150,"Argentina",0,27/04/2003,200304,150205,"Front of the popular movement","MP",20,"Adolfo Rodriguez Saá",314,5,2016,.717,.621,,,14.11,,257,8,911,"2022-1",24,0,0,0,0,0,0,0,0,0,4.167,0,0,0,4.167,16.667,0,0,0,0,0,0,0,4.167,4.167,4.167,4.167,0,0,0,0,0,0,0,0,0,0,0,0,0,4.167,4.167,0,0,8.333,0,0,0,0,4.167,4.167,8.333,0,0,0,8.333,0,0,0,0,0,0,0,8.333,0,0,0,0,0,0,0,8.333,0,0,0,0,0,0,4.167,0,8.333,12.5,0,"2022a","6ZRXJH"
